"step_number","title","type","duration","duration_secs","week_label","week_datetime","week_date","week_heading","step_url","step_content"
"4.4","Al Khwarizmi's identity and the quadratic formula","Article","","","Week 4","2016-07-18","18 Jul","Week 4: Quadratic functions in algebra and design","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/86383","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Al Khwarizmi's identity and the quadratic formula
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-linear-quadratic-relations/1/steps/86383/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">45 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"4.5","Zeroes and completing the square","Quiz","","","Week 4","2016-07-18","18 Jul","Week 4: Quadratic functions in algebra and design","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/86386","[]"
"4.6","Vertices, axes and maximum values","Article","","","Week 4","2016-07-18","18 Jul","Week 4: Quadratic functions in algebra and design","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/86384","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Vertices, axes and maximum values
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-linear-quadratic-relations/1/steps/86384/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">64 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"4.7","Secants and tangents of a parabola","Article","","","Week 4","2016-07-18","18 Jul","Week 4: Quadratic functions in algebra and design","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/86385","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Secants and tangents of a parabola
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-linear-quadratic-relations/1/steps/86385/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">37 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"4.8","Geometry of a parabola","Quiz","","","Week 4","2016-07-18","18 Jul","Week 4: Quadratic functions in algebra and design","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/95930","[]"
"4.9","Quadratics in design","Video","07:47",467,"Week 4","2016-07-18","18 Jul","Week 4: Quadratic functions in algebra and design","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/86394","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/5317794/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/5317794/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"4.10","Parametric forms for lines and vectors","Article","","","Week 4","2016-07-18","18 Jul","Week 4: Quadratic functions in algebra and design","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/86395","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Parametric forms for lines and vectors
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-linear-quadratic-relations/1/steps/86395/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">22 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"4.11","De Casteljau Bezier curves and design","Article","","","Week 4","2016-07-18","18 Jul","Week 4: Quadratic functions in algebra and design","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/86396","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    De Casteljau Bezier curves and design
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-linear-quadratic-relations/1/steps/86396/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">31 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"4.12","A quadratic function through three points","Article","","","Week 4","2016-07-18","18 Jul","Week 4: Quadratic functions in algebra and design","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/86397","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    A quadratic function through three points
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-linear-quadratic-relations/1/steps/86397/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">41 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"4.13","Parabolas in art and architecture","Article","","","Week 4","2016-07-18","18 Jul","Week 4: Quadratic functions in algebra and design","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/86398","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Parabolas in art and architecture
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-linear-quadratic-relations/1/steps/86398/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">43 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
