learner_id,enrolled_at,unenrolled_at,role,fully_participated_at,purchased_statement_at,gender,country,age_range,highest_education_level,employment_status,employment_area,detected_country
991c2aa4-0785-4015-8fb9-2c200c221b60,2017-05-07 01:22:37 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,SA
e94585de-1485-43c7-bd2d-ffde336812f4,2017-05-07 10:24:21 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,MA
772c5169-2e1b-4c36-9fa7-228003c6cd3a,2017-05-07 00:55:56 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,EE
eeccf61d-f42f-4254-9c3e-a5e654242430,2017-05-06 21:56:09 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AE
ffada861-cfce-473d-a1d6-9859af77af4d,2017-05-06 18:18:29 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,MX
8730e972-ed48-4d26-96c4-78579ac6f094,2017-04-22 14:58:00 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
5494f8f9-f5c9-4536-b68b-df0e127feb34,2017-02-07 07:39:03 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AU
2b950ad3-c271-4f33-87f2-d96f52bff060,2017-01-30 08:52:02 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
6dd1e026-73cb-4636-8d0a-9c1afa29861b,2017-04-24 12:53:22 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,MX
e3091328-bc40-40bf-a0b4-d1ce85378292,2017-04-24 15:31:49 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
76ed1b0b-5c3f-4440-9fcb-825a9a116468,2017-04-25 13:38:23 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
4c416ef5-6344-4176-ab79-c3cf3eda49b0,2017-02-25 03:24:19 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,MY
775704a9-32b8-4615-8a0c-3ad69be9c5e7,2017-02-21 22:07:01 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AU
9e97b062-4d77-454a-8b6b-76ce8d54090d,2017-05-02 08:54:26 UTC,,learner,2017-05-06 06:31:36 UTC,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CN
0aac0065-dd04-454d-b4bc-90f7fa9c1250,2017-05-06 18:26:01 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
0db9f2f1-1336-41f3-9afa-469e52beccb1,2017-05-06 15:48:29 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
